"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"“@catiewayne: Sloth Week starts on June 20th! Sloth yourself with a #SlothWeek Twibbon now. http://t.co/GgQhN0yXqj” @slamanthajames",FALSE,0,"catiewayne",2014-06-11 17:35:58,FALSE,"476764765776121856","476779889505619968","608855648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JWH28",0,FALSE,FALSE,NA,NA
"RT @laraswanson: First national donut day, now sloth week is approaching. June may be my favorite month. http://t.co/Cy9yE7y4pN",FALSE,0,NA,2014-06-11 17:29:46,FALSE,NA,"476778330348605442",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nerdygrrl",1,TRUE,FALSE,NA,NA
"Sloth Week starts on June 20th! Sloth yourself with a #SlothWeek Twibbon now. http://t.co/VONWf26IdB",FALSE,0,NA,2014-06-11 17:28:47,FALSE,NA,"476778080774537216",NA,"<a href=""http://twibbon.com"" rel=""nofollow"">Twibbon</a>","nonpaem",0,FALSE,FALSE,NA,NA
"RT @mashable: GUYS, #SlothWeek is coming. http://t.co/HzHeJ8Oizt http://t.co/kB5illc4Jg",FALSE,0,NA,2014-06-11 17:22:35,FALSE,NA,"476776519876870145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattlabate",464,TRUE,FALSE,NA,NA
"First national donut day, now sloth week is approaching. June may be my favorite month. http://t.co/Cy9yE7y4pN",FALSE,5,NA,2014-06-11 17:21:49,FALSE,NA,"476776327102877696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laraswanson",1,FALSE,FALSE,NA,NA
"I've slothed myself for Sloth week haha! http://t.co/TF87WWdrcb",FALSE,0,NA,2014-06-11 17:20:27,FALSE,NA,"476775985933975554",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nocaityescait",0,FALSE,FALSE,NA,NA
"Sloth Week starts on June 20th! Sloth yourself with a #SlothWeek Twibbon now. http://t.co/xxV1mzKq6w",FALSE,0,NA,2014-06-11 17:19:31,FALSE,NA,"476775751916584960",NA,"<a href=""http://twibbon.com"" rel=""nofollow"">Twibbon</a>","mattlabate",0,FALSE,FALSE,NA,NA
"Sloths aggressively firing a shot over the port bow. http://t.co/bNHmoSCh7l",FALSE,2,NA,2014-06-11 17:16:12,FALSE,NA,"476774914771668992",NA,"<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Silver Bird</a>","SaraJChipps",1,FALSE,FALSE,NA,NA
"live every week like it's sloth week? http://t.co/oyphDCUAmM",FALSE,1,NA,2014-06-11 17:11:40,FALSE,NA,"476773774046412801",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yourpalmal",0,FALSE,FALSE,NA,NA
"RT @catiewayne: Sloth Week starts on June 20th! Sloth yourself with a #SlothWeek Twibbon now. http://t.co/0N1arEso98",FALSE,0,NA,2014-06-11 17:10:47,FALSE,NA,"476773549961916416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elknightino",6,TRUE,FALSE,NA,NA
